ah	aa
attention	aabayeelid
father	aabbe
father	aabbo
son	aabbow
plug	aabbur
consider	aabee
provocation	aabi
consideration	aabo
you	aad
Adam	Aadan
direct	aaddi
slowly	aad yar
surroundings	aag
end	aakhir
afterlife	aakhiro
end	aakhirutahan
slowly	aal
frequently	aalaa
electroencephalograph	aaladda shaqada maskaxda
electrocardiograph	aaladda shaqada wadnaha
arm	aaladee
alcohol	aalkolo
heifer	aalo
receptacle	aameel
Amina	Aamina
mistrust	aammindarro
trustworthiness	aamminnimo
trusting	aamminsan
silence	aammus
silent	aammusan
silence	aammusnaan
I	aan
not	aan
resentment	aano
never	aan ... weli
revenge	aar
bravery	aarnimo
vengeance	aarsasho
revenge	aarsi
artillery	aartilari
burial	aas
bury	aas
found	aasaas
basis	aasaasi
buried	aasan
acid	aasid
Asia	Aasiya
sake	aawo
miracle	aayad
slowly	aayar
future	aayatiin
destiny	aaye
future	aayo
ion	aayoon
ionization	aayoonayn
organization	abaabul
favor	abaal
ungrateful	abaaldaran
pension	abaaldhurad
recompense	abaalgud
reward	abaalmari
drought	abaar
refugee	abaarikeentay
transplant	abaqaal
wean	abaydi
wean	abaydimi
protector	abbaan
direction	abbaar
debt	abbaar
proximity	abbaaro
sister	abbaayo
moray	abeesabbadeed
plead	abhi
plea	abhin
kite	abitey
dagger	abley
genealogy	abnaq
termite	aboor
rush	abraar
ancestors	absaxan
Abshir	Abshir
genealogy	abtiris
genealogy	abtirsiino
foam	abur
Abubakar	Abuubakar
Abukar	Abuukar
forefathers	abuullan
lobster	abuu-maqas
created	abuuran
creation	abuuris
surprise	abyan
Abian	Abyan
you	ad
hard	adadag
hardness	adayg
slave	addoon
slavery	addoonnimo
slavery	addoonsi
enslave	addoonso
world	adduun
serve	adeeg
hardness	adeyg
spine	adhax
shepherd	adhijir
you	adi
you	adiga
hardness	adkaan
resistance	adkaysasho
endurance	adkaysi
resistor	adkayste
father	adoo
provocation	adyad
provoke	adyadee
mouth	af
doorway	afaaf
four	afar
fourth	afaraad
fourteen	afariyotoban
fortieth	afartamaad
forty	afartan
sharp	afaysan
sharp	af badan
open	afbannaan
breakfast	afbilaw
actions	afcaal
interpret	afceli
interpreter	afceliye
blunt	af daran
bluntness	afdarro
argue	afdhaaf
kidnap	afduub
sharpen	afee
excuse	afeef
explanation	afeefasho
Afghanistan	Afgaanistaan
understanding	afgarad
revolution	afgembi
dialect	afguri
interruption	afjuxuunsi
insult	afka balaq
blunt	af la'
movies	aflaam
insult	aflaggaaddee
insult	aflaggaaddo
succeed	aflax
success	aflax
sharp	af leh
orator	afmaal
oratory	afmaalnimo
edge	afmeer
interpreter	afnaqe
fourth	afraad
Afrah	Afrax
bullet	afrid
Africa	Afrika
mask	afshareer
Somali	af Soomaali
eloquence	aftahmo
opinion	afti
napkin	aftir
blow	afuuf
inflated	afuufan
breath	afuufo
fellatio	af wasid
vulgar	afxaar
insult	afxumo
linguist	afyaqaan
opium	afyuun
nearness	ag
proximity	agaag
organized	agaasiman
manager	agaasime
managing	agaasimid
manage	agaasin
usefulness	agab
train	agabbar
surroundings	agagaar
orphan	agoon
orphanhood	agoonnimo
create	ahaysii
making	ahaysiin
fool	ahbal
plead	ahbi
Hello	ahlan
objective	ahmiyad
deceive	ajar
spoil	ajee
obey	ajiib
reason	ajli
arrogance	ajood
rent	ajuuro
argue	akeekan
behavior	akhlaaq
read	akhri
approve	akid
toys	alaaba-alaabey
toys	alaab cayaareed
custom	alab
sing	aleeggad
stripes	alfaan
alphabet	alif
alphabet	alifba'
Algeria	Aljeeriya
invention	alkun
fiancZ	alkun
oh	alla
Allah	Allah
Allah	Alle
incite	aloos
wood	alwaax
welding	alxan
or	ama
loan	amaah
borrowing	amaahasho
lend	amaahi
invent	amaamud
expectation	amal
Amal	Amal
command	amar
disobedience	amardiiddo
or	amba
departure	ambabbax
ambulance	amballas
America	Ameerika
leader	amiir
praise	ammaan
praise	ammaan
ruler	ammiir
matter	ammuur
safety	amni
I	an
leave	anbabbax
departure	anbabbixid
misdirection	anbasho
place	anbo
Angola	Angoola
resentment	anguugyo
I	ani
I	aniga
ink	anqaas
legality	ansax
illmannered	anshaxdaran
illmannered	anshax-xun
conduct	anshi
legalize	ansixi
excess	antaradhaaf
antenna	anteeno
hunger	aq
house	aqal
wedding	aqalgal
waitingroom	aqalka sugniinka
Yuck	aqas
starvation	aqasho
accept	aqbal
majority	aqlabiyad
know	aqood
day	aqool
ignorant	aqoondaran
ignorance	aqoondarro
symposium	aqoonisweydaarsi
aquaintance	aqoonni
recognize	aqoonso
ignorant	aqoonxun
scholar	aqoonyahan
strangers	aqraab
corn	arabbikhi
see	arag
blindness	aragbeel
begin	araro
trouble	arbush
trouble	arbushaad
annoyed	arbushan
courtyard	ardaa
stupidity	ardaalnimo
student	arday
Ardo	Ardo
fear	argaggax
terrified	argaggaxsan
terrify	argaggixi
terrorist	argaggixiye
shepherd	arijir
aristocrat	aristoqraadi
aristocracy	aristoqraadiyad
look	arkid
find	arko
perhaps	armaa
spine	aroor
dawn	arooryo
marry	aroos
marriage	aroos
dress	arradbixi
ragged	arradsan
consulting	arrinsasho
consultation	arrinsi
consult	arrinso
collect	aruur
assembling	aruurin
collector	aruuriye
gathered	aruursan
gather	aruurso
exhilaration	arwaax
happy	arwaaxsan
mercy	arxan
peer	asaag
found	asaas
bewilder	asaddihi
argument	asaraar
causes	asbaab
week	asbuuc
plantation	aseendo
yellowgold	asfar
elevator	ashansoore
wonder	ashqaraar
amaze	ashqaraari
suit	ashtako
Asili	Asiili
soldiers	askar
militarism	askarnimo
tanned	aslan
Asli	Asli
wellbehaved	asluubeysan
cursed	asmaysan
curse	asmee
curse	asmo
teacher	astaad
punctuation	astaamayn
mark	astaamee
marked	astaysan
mark	astee
preserve	astur
Astur	Astur
preserved	asturan
Atlantic	Atlaantika
announce	awaaji
guess	awaal
orders	awaamir
dust	awaare
shut	awdan
Aweis	Aweys
curse	aweyti
curse	aweyti
ability	awood
weak	awooddaran
grandfather	awoowe
grandfather	awow
Australia	Awstraaliya
person	axad
Ahado	Axado
oathbreaking	axdidarro
fool	axmaq
Ahmed	Axmed
situations	axwaal
they	ay
Ayan	Ayaan
they	ayaga
grandmother	ayey
perceptive	aygarad
approve	ayid
slaughter	aynab
who	ayo
Job	Ayuub
suffering	ba'
type	baab
pope	Baaba
hemorrhoids	baabasiir
destruction	baabba'
finished	baabba'san
remove	baabbi'i
destruction	baabbi'id
hemorrhoids	baabusiir
truck	baabuur weyn
search	baadh
investigation	baadhitaan
sin	baadil
brand	baadisooc
inquiry	baafin
postpone	baaji
parcel	baako
side	baal
butterfly	baalalley
bucket	baaldi
butterfly	baalleybaro
spear	baalxaaf
band	baan
discourse	baanise
gas	baansiin
sardine	baaqe
bowl	baaquli
inspection	baarasho
Barbados	Baarbadoos
investigator	baare
pressure	baari
investigation	baarid
Paris	Baariis
research	baaris
investigation	baaritaan
parliament	baarlamaan
Berlin	Baarliin
inspect	baaro
conversation	baarran
excuses	baarrimasho
obedience	baarrinnimo
gunpowder	baaruud
problem	baas
passport	baasaboor
passport	baasaboorto
pastime	baashaal
Bashi	Baashi
kiss	baasho
gas	baasiin
gas	baasiino
bicycle	baaskiil
pistol	baastoolad
bazooka	baasuuke
extravagance	baatul
median	baaxadsoore
bargaining	baayac
market	baayacmushtar
commerce	baayacmushtar
seller	baayacmushtari
liar	baayir
wrestle	babactan
papaya	babbaay
fan	babbi
fan	babbis
butterfly	babbisjinni
dune	bacad
vendor	bacadle
afterwards	bacdi
cracked	bacran
crackedness	bacranaan
fertility	bacrinnimo
sea	bad
very	badan
most	badan
mostly	badanaa
intensification	badasho
save	badbaadee
safeguarding	badbaadin
savior	badbaadiye
safety	badbaado
changed	baddalan
fisherman	baddhac
merchandise	badeecad
merchandise	badeeco
half	badh
governor	badhasaab
center	badho
middle	badhtan
majority	badi
win	badi
increase	bado
countryman	badow
rusticity	badownimo
employer	badrooni
increase	badso
break	baduug
ocean	badweyn
dam	badxir
lake	badyar
bravo	baga
bacteria	bagteeriyo
brutality	bahalnimo
scare	baji
rest	bajiino
syphilis	bajo
silo	bakaar
hare	bakayle
storekeeper	bakhaarhaye
miserliness	bakhaylnimo
envelope	bakhshad
tip	bakhshiish
die	bakhti
kill	bakhtii
lottery	bakhtiyanasiib
Pakistan	Bakistaan
oratory	balaaqo
plasma	balaasmo
misfortune	balaayo
prepuce	balag
butterfly	balambaallis
feast	balashi
jump	balaw
wide	balballaaran
paleontology	balentooloji
example	balki
width	ballaadh
wide	ballaadhan
widen	ballaadhi
width	ballaar
wide	ballaaran
widening	ballaarasho
widen	ballaari
expansion	ballaarin
width	ballac
entrust	ballan
promise	ballan
commitment	ballangal
pond	balli
saliva	balqan
well	balse
bomb	bam
bomb	bambo
diarrhea	ban
rifles	banaadiiq
rifles	banatiikh
demonstration	banbax
rubber	banbiiro
flag	bandiirad
Bangladesh	Bangaala-Dheesh
bungalow	bangalo
